hour,count,relative_frequency,message_type,hour_interval
0,0,0.0,Group messages,0:00–1:00
1,0,0.0,Group messages,1:00–2:00
2,0,0.0,Group messages,2:00–3:00
3,0,0.0,Group messages,3:00–4:00
4,1,0.03926187671770711,Group messages,4:00–5:00
5,25,0.9815469179426776,Group messages,5:00–6:00
6,202,7.930899096976836,Group messages,6:00–7:00
7,196,7.695327836670593,Group messages,7:00–8:00
8,198,7.773851590106007,Group messages,8:00–9:00
9,191,7.499018453082057,Group messages,9:00–10:00
10,223,8.755398508048685,Group messages,10:00–11:00
11,240,9.422850412249705,Group messages,11:00–12:00
12,227,8.912446014919514,Group messages,12:00–13:00
13,293,11.503729878288183,Group messages,13:00–14:00
14,381,14.958775029446409,Group messages,14:00–15:00
15,178,6.9886140557518655,Group messages,15:00–16:00
16,120,4.7114252061248525,Group messages,16:00–17:00
17,54,2.1201413427561837,Group messages,17:00–18:00
18,10,0.39261876717707106,Group messages,18:00–19:00
19,7,0.27483313702394974,Group messages,19:00–20:00
20,0,0.0,Group messages,20:00–21:00
21,0,0.0,Group messages,21:00–22:00
22,1,0.03926187671770711,Group messages,22:00–23:00
23,0,0.0,Group messages,23:00–24:00
