id,conversation_id,reply_to,speaker,timestamp,text,sender position,weekday,Channel Name,Channel Type,Team Name,Anonymized,Format,team_name_normalized,team_name_harmonized,team_name_manual_validation,team_name_final,team_name_source,text_original,text_clean_lexical,direction,text_clean_lexical_v2
G_SYN_001_U001,G_SYN_001,,Person_G01,1641564000,Übergabe für das WE:,1,4,G_SYN_001,group,Psychosomatik,True,synthetic,psychosomatik,psom,,psom,harmonized,Übergabe für das WE:,Übergabe für das WE,group,Übergabe für das WE
G_SYN_001_U002,G_SYN_001,G_SYN_001_U001,Person_G01,1641564060,PatName: kein Todo.,1,4,G_SYN_001,group,Psychosomatik,True,synthetic,psychosomatik,psom,,psom,harmonized,PatName: kein Todo.,PatName kein_Todo,group,PatName kein_Todo
G_SYN_001_U003,G_SYN_001,G_SYN_001_U002,Person_G01,1641564120,Hashtag_PatName: bitte morgen kurze Rückmeldung geben.,1,4,G_SYN_001,group,Psychosomatik,True,synthetic,psychosomatik,psom,,psom,harmonized,Hashtag_PatName: bitte morgen kurze Rückmeldung geben.,Hashtag_PatName bitte morgen kurze Rückmeldung geben,group,Hashtag_PatName bitte morgen kurze Rückmeldung geben
G_SYN_001_U004,G_SYN_001,G_SYN_001_U003,Person_G02,1641564600,Danke für die Übergabe.,2,4,G_SYN_001,group,Psychosomatik,True,synthetic,psychosomatik,psom,,psom,harmonized,Danke für die Übergabe.,Danke für die Übergabe,group,Danke für die Übergabe
G_SYN_002_U001,G_SYN_002,,Person_G03,1641308400,Rückmeldung aus der MT Gruppe: Alle waren anwesend.,1,1,G_SYN_002,group,Psychosomatik,True,synthetic,psychosomatik,psom,,psom,harmonized,Rückmeldung aus der MT Gruppe: Alle waren anwesend.,Rückmeldung aus der MT Gruppe Alle waren anwesend,group,Rückmeldung aus der MT_Gruppe Alle waren anwesend
G_SYN_002_U002,G_SYN_002,G_SYN_002_U001,Person_G04,1641308580,PatName beteiligte sich aktiv an der MT Gruppe.,2,1,G_SYN_002,group,Psychosomatik,True,synthetic,psychosomatik,psom,,psom,harmonized,PatName beteiligte sich aktiv an der MT Gruppe.,PatName beteiligte sich aktiv an der MT Gruppe,group,PatName beteiligte sich aktiv an der MT_Gruppe
G_SYN_002_U003,G_SYN_002,G_SYN_002_U002,Person_G05,1641308880,Vielen Dank für die Rückmeldung 🙂,3,1,G_SYN_002,group,Psychosomatik,True,synthetic,psychosomatik,psom,,psom,harmonized,Vielen Dank für die Rückmeldung 🙂,Vielen Dank für die Rückmeldung 🙂,group,Vielen Dank für die Rückmeldung 🙂
G_SYN_003_U001,G_SYN_003,,Person_G06,1641390000,Die GT Gruppe beginnt heute um 14 Uhr.,1,2,G_SYN_003,group,Psychosomatik,True,synthetic,psychosomatik,psom,,psom,harmonized,Die GT Gruppe beginnt heute um 14 Uhr.,Die GT Gruppe beginnt heute um 14 Uhr,group,Die GT_Gruppe beginnt heute um 14 Uhr
G_SYN_003_U002,G_SYN_003,G_SYN_003_U001,Person_G07,1641390180,Bitte begleitet die Gruppe zum Raum 5.,2,2,G_SYN_003,group,Psychosomatik,True,synthetic,psychosomatik,psom,,psom,harmonized,Bitte begleitet die Gruppe zum Raum 5.,Bitte begleitet die Gruppe zum Raum 5,group,Bitte begleitet die Gruppe zum Raum 5
G_SYN_003_U003,G_SYN_003,G_SYN_003_U002,Person_G08,1641390480,KolName übernimmt die GT Gruppe.,3,2,G_SYN_003,group,Psychosomatik,True,synthetic,psychosomatik,psom,,psom,harmonized,KolName übernimmt die GT Gruppe.,KolName übernimmt die GT Gruppe,group,KolName übernimmt die GT_Gruppe
G_SYN_004_U001,G_SYN_004,,Person_G09,1641464100,Die ÖGD für PatName wurde auf morgen verschoben.,1,3,G_SYN_004,group,Endoskopie,True,synthetic,endoskopie,endoskopie,,endoskopie,harmonized,Die ÖGD für PatName wurde auf morgen verschoben.,Die ÖGD für PatName wurde auf morgen verschoben,group,Die ÖGD für PatName wurde auf morgen verschoben
G_SYN_004_U002,G_SYN_004,G_SYN_004_U001,Person_G10,1641464400,Bitte nach dem Termin eine Rückmeldung senden.,2,3,G_SYN_004,group,Endoskopie,True,synthetic,endoskopie,endoskopie,,endoskopie,harmonized,Bitte nach dem Termin eine Rückmeldung senden.,Bitte nach dem Termin eine Rückmeldung senden,group,Bitte nach dem Termin eine Rückmeldung senden
G_SYN_004_U003,G_SYN_004,G_SYN_004_U002,Person_G11,1641464580,Wird gemacht.,3,3,G_SYN_004,group,Endoskopie,True,synthetic,endoskopie,endoskopie,,endoskopie,harmonized,Wird gemacht.,Wird gemacht,group,Wird gemacht
G_SYN_005_U001,G_SYN_005,,Person_G12,1641211200,Wer kann morgen die KT Gruppe vertreten?,1,0,G_SYN_005,group,Psychosomatik,True,synthetic,psychosomatik,psom,,psom,harmonized,Wer kann morgen die KT Gruppe vertreten?,Wer kann morgen die KT Gruppe vertreten QuestionMark,group,Wer kann morgen die KT_Gruppe vertreten QuestionMark
G_SYN_005_U002,G_SYN_005,G_SYN_005_U001,Person_G13,1641211500,Ich kann die KT Gruppe übernehmen.,2,0,G_SYN_005,group,Psychosomatik,True,synthetic,psychosomatik,psom,,psom,harmonized,Ich kann die KT Gruppe übernehmen.,Ich kann die KT Gruppe übernehmen,group,ich kann die KT_Gruppe übernehmen
G_SYN_005_U003,G_SYN_005,G_SYN_005_U002,Person_G12,1641211680,"Perfekt, danke!",1,0,G_SYN_005,group,Psychosomatik,True,synthetic,psychosomatik,psom,,psom,harmonized,"Perfekt, danke!",Perfekt danke,group,Perfekt danke
