direction,message_type,category,total_count,unique_emoji_shortcodes,percentage,representative_shortcodes,visual_examples
direct,Direct messages,positive affect / friendliness,54,14,34.18,:blush: (12); :relaxed: (9); :wink: (7),😊 (12); ☺️ (9); 😉 (7)
direct,Direct messages,humor / softening,30,9,18.99,:sweat_smile: (13); :joy: (5); :see_no_evil: (3),😅 (13); 😂 (5); 🙈 (3)
direct,Direct messages,approval / agreement,29,5,18.35,:+1: (23); :muscle: (2); :v: (2),👍 (23); 💪 (2); ✌️ (2)
direct,Direct messages,concern / uncertainty,14,9,8.86,:thinking_face: (3); :woman_shrugging: (3); :woman-shrugging: (2),🤔 (3); 🤷‍♀️ (3); 🤷‍♀️ (2)
direct,Direct messages,skepticism / mild negativity,14,5,8.86,:face_with_rolling_eyes: (4); :unamused: (3); :roll_eyes: (3),🙄 (4); 😒 (3); 🙄 (3)
direct,Direct messages,objects / symbols / other,8,8,5.06,:coffee: (1); :sleeping: (1); :mask: (1),☕ (1); 😴 (1); 😷 (1)
direct,Direct messages,affection / support,4,4,2.53,:kissing_heart: (1); :pray: (1); :tulip: (1),😘 (1); 🙏 (1); 🌷 (1)
direct,Direct messages,celebration / seasonal,3,3,1.9,:cake: (1); :christmas_tree: (1); :champagne: (1),🎂 (1); 🎄 (1); 🍾 (1)
direct,Direct messages,information / direction,2,2,1.27,:bulb: (1); :arrow_right: (1),💡 (1); ➡️ (1)
group,Group messages,positive affect / friendliness,28,9,44.44,:blush: (12); :relaxed: (4); :wink: (3),😊 (12); ☺️ (4); 😉 (3)
group,Group messages,objects / symbols / other,11,5,17.46,:iphone: (6); :tada: (2); :mailbox_with_no_mail: (1),📱 (6); 🎉 (2); 📭 (1)
group,Group messages,humor / softening,8,5,12.7,:sweat_smile: (3); :joy: (2); :clown_face: (1),😅 (3); 😂 (2); 🤡 (1)
group,Group messages,approval / agreement,7,2,11.11,:+1: (6); :white_check_mark: (1),👍 (6); ✅ (1)
group,Group messages,concern / uncertainty,4,4,6.35,:weary: (1); :sleepy: (1); :hot_face: (1),😩 (1); 😪 (1); 🥵 (1)
group,Group messages,affection / support,2,2,3.17,:tulip: (1); :heart_eyes: (1),🌷 (1); 😍 (1)
group,Group messages,celebration / seasonal,2,1,3.17,:partying_face: (2),🥳 (2)
group,Group messages,skepticism / mild negativity,1,1,1.59,:upside_down_face: (1),🙃 (1)
