direction,message_type,emoji_shortcode,count,percentage
direct,Direct messages,:+1:,23,14.37
direct,Direct messages,:sweat_smile:,13,8.12
direct,Direct messages,:blush:,12,7.5
direct,Direct messages,:relaxed:,9,5.62
direct,Direct messages,:wink:,7,4.38
direct,Direct messages,:slightly_smiling_face:,7,4.38
direct,Direct messages,:joy:,5,3.12
direct,Direct messages,:face_with_rolling_eyes:,4,2.5
direct,Direct messages,:innocent:,4,2.5
direct,Direct messages,:grinning:,3,1.88
direct,Direct messages,:unamused:,3,1.88
direct,Direct messages,:thinking_face:,3,1.88
direct,Direct messages,:see_no_evil:,3,1.88
direct,Direct messages,:woman_shrugging:,3,1.88
direct,Direct messages,:roll_eyes:,3,1.88
direct,Direct messages,:sun_with_face:,3,1.88
direct,Direct messages,:nerd_face:,2,1.25
direct,Direct messages,:no_mouth:,2,1.25
direct,Direct messages,:stuck_out_tongue:,2,1.25
direct,Direct messages,:upside_down_face:,2,1.25
direct,Direct messages,:smile:,2,1.25
direct,Direct messages,:woman-shrugging:,2,1.25
direct,Direct messages,:face_with_hand_over_mouth:,2,1.25
direct,Direct messages,:muscle:,2,1.25
direct,Direct messages,:grin:,2,1.25
direct,Direct messages,:v:,2,1.25
direct,Direct messages,:innen:,1,0.62
direct,Direct messages,:thinking:,1,0.62
direct,Direct messages,:worried:,1,0.62
direct,Direct messages,:cake:,1,0.62
direct,Direct messages,:coffee:,1,0.62
direct,Direct messages,:sleeping:,1,0.62
direct,Direct messages,:zany_face:,1,0.62
direct,Direct messages,:disguised_face:,1,0.62
direct,Direct messages,:mask:,1,0.62
direct,Direct messages,:sandwich:,1,0.62
direct,Direct messages,:green_salad:,1,0.62
direct,Direct messages,:hamburger:,1,0.62
direct,Direct messages,:stuck_out_tongue_winking_eye:,1,0.62
direct,Direct messages,:confused:,1,0.62
direct,Direct messages,:smiley:,1,0.62
direct,Direct messages,:Patient:,1,0.62
direct,Direct messages,:rocket:,1,0.62
direct,Direct messages,:christmas_tree:,1,0.62
direct,Direct messages,:frowning_face:,1,0.62
direct,Direct messages,:couch_and_lamp:,1,0.62
direct,Direct messages,:stew:,1,0.62
direct,Direct messages,:scream:,1,0.62
direct,Direct messages,:sunglasses:,1,0.62
direct,Direct messages,:ok_hand:,1,0.62
direct,Direct messages,:grimacing:,1,0.62
direct,Direct messages,:bulb:,1,0.62
direct,Direct messages,:arrow_right:,1,0.62
direct,Direct messages,:call_me_hand:,1,0.62
direct,Direct messages,:hugging_face:,1,0.62
direct,Direct messages,:kissing_heart:,1,0.62
direct,Direct messages,:champagne:,1,0.62
direct,Direct messages,:pray:,1,0.62
direct,Direct messages,:tulip:,1,0.62
direct,Direct messages,:smiling_face_with_3_hearts:,1,0.62
direct,Direct messages,:hearts:,1,0.62
group,Group messages,:blush:,12,16.22
group,Group messages,:1:,8,10.81
group,Group messages,:+1:,6,8.11
group,Group messages,:iphone:,6,8.11
group,Group messages,:relaxed:,4,5.41
group,Group messages,:wink:,3,4.05
group,Group messages,:sunflower:,3,4.05
group,Group messages,:sweat_smile:,3,4.05
group,Group messages,:grinning:,2,2.7
group,Group messages,:partying_face:,2,2.7
group,Group messages,:joy:,2,2.7
group,Group messages,:tada:,2,2.7
group,Group messages,:mailbox_with_no_mail:,1,1.35
group,Group messages,:smiley:,1,1.35
group,Group messages,:weary:,1,1.35
group,Group messages,:sleepy:,1,1.35
group,Group messages,:four_leaf_clover:,1,1.35
group,Group messages,:hot_face:,1,1.35
group,Group messages,:mountain_bicyclist:,1,1.35
group,Group messages,:innen:,1,1.35
group,Group messages,:00:,1,1.35
group,Group messages,:20:,1,1.35
group,Group messages,:innocent:,1,1.35
group,Group messages,:white_check_mark:,1,1.35
group,Group messages,:apple:,1,1.35
group,Group messages,:tulip:,1,1.35
group,Group messages,:sun_with_face:,1,1.35
group,Group messages,:heart_eyes:,1,1.35
group,Group messages,:clown_face:,1,1.35
group,Group messages,:cold_sweat:,1,1.35
group,Group messages,:upside_down_face:,1,1.35
group,Group messages,:stuck_out_tongue_winking_eye:,1,1.35
group,Group messages,:smirk:,1,1.35
