marker,display_label,direct_count,direct_messages,direct_tokens,direct_rate_per_1000_tokens,group_count,group_messages,group_tokens,group_rate_per_1000_tokens,direct_minus_group_rate,absolute_rate_difference
ich,ich,2317,1628,88287,26.243954376068956,1002,676,90187,11.110248705467528,15.133705670601428,15.133705670601428
du,du,1203,1016,88287,13.6260151551191,181,158,90187,2.006941133422777,11.619074021696324,11.619074021696324
QuestionMark,QuestionMark,1522,1339,88287,17.239231143883018,635,491,90187,7.0409260758202405,10.198305068062776,10.198305068062776
PatName,Patient reference,1167,849,88287,13.218254103095587,635,372,90187,7.0409260758202405,6.177328027275347,6.177328027275347
dir,dir,374,348,88287,4.236184262688732,52,48,90187,0.5765797731380354,3.6596044895506963,3.6596044895506963
ja,ja,464,419,88287,5.255586892747517,160,140,90187,1.7740916096554935,3.4814952830920234,3.4814952830920234
hast,hast,178,174,88287,2.016151868338487,20,20,90187,0.2217614512069367,1.7943904171315506,1.7943904171315506
Hi,Hi,144,143,88287,1.6310442080940568,10,10,90187,0.11088072560346834,1.5201634824905885,1.5201634824905885
anwesend,anwesend,6,6,88287,0.06796017533725238,181,175,90187,2.006941133422777,-1.9389809580855248,1.9389809580855248
Gruppe,Gruppe,98,82,88287,1.1100161971751221,278,186,90187,3.08248417177642,-1.972467974601298,1.972467974601298
Rückmeldung,Feedback / status update,29,29,88287,0.3284741807967198,215,214,90187,2.3839356004745698,-2.05546141967785,2.05546141967785
Datum,Datum,223,132,88287,2.5258531833678797,568,266,90187,6.298025214277002,-3.7721720309091227,3.7721720309091227
sich,sich,298,240,88287,3.375355375083535,718,389,90187,7.961236098329027,-4.585880723245492,4.585880723245492
Mention_KolName,Direct colleague mention,86,85,88287,0.9740958465006173,606,452,90187,6.719371971570182,-5.745276125069565,5.745276125069565
kein_Todo,No active to-do,12,5,88287,0.13592035067450475,700,245,90187,7.761650792242785,-7.62573044156828,7.62573044156828
Hashtag_PatName,Hashtagged patient reference,697,510,88287,7.894707035010816,3270,1155,90187,36.25799727233415,-28.363290237323334,28.363290237323334
