token,selected_direction,selection_rank,display_label,direct_count,group_count,total_count,direct_freq_per_1000,group_freq_per_1000,log_ratio_direct_vs_group,log_likelihood,signed_log_likelihood
du,direct,1,Second-person pronoun (du),931,129,1060,10.55304292628739,1.428618890993056,2.88015942639597,703.2443643586064,703.2443643586064
ich,direct,2,First-person pronoun (ich),1768,715,2483,20.04057990727831,7.918314008217327,1.339058302115137,485.8409436103395,485.8409436103395
QuestionMark,direct,3,Question marker (?),1522,635,2157,17.25212817809818,7.032348804500703,1.294033952929622,396.7199735723302,396.7199735723302
dir,direct,4,Second-person pronoun (dir),308,38,346,3.491232246290565,0.4208334717653964,3.035895893595403,246.4470116912277,246.4470116912277
PatName,direct,5,Patient reference (PatName),1167,635,1802,13.22814295915938,7.032348804500703,0.9110142747329513,172.0436790796423,172.0436790796423
ja,direct,6,Affirmation (ja),463,160,623,5.248183539066662,1.771930407433248,1.563551796644114,160.9390947665718,160.9390947665718
hast,direct,7,Verb form (hast),178,20,198,2.017660194284808,0.221491300929156,3.155784014551902,148.5785073945466,148.5785073945466
Hi,direct,8,Informal greeting (Hi),144,10,154,1.632264426837148,0.110745650464578,3.816164014862804,142.6034236678143,142.6034236678143
Hashtag_PatName,group,1,Hashtagged patient reference,697,3270,3967,7.900613232677028,36.213827701917,-2.195690337236625,1752.322347551022,-1752.322347551022
kein_Todo,group,2,No active to-do,11,651,662,0.1246868659389488,7.209541845244028,-5.790503657370236,790.9721603889657,-790.9721603889657
Mention_KolName,group,3,Colleague mention,86,606,692,0.9748245882499632,6.711186418153427,-2.7761798523429,427.8138148460805,-427.8138148460805
anwesend,group,4,Attendance (anwesend),6,181,187,0.06801101778488115,2.004496273408862,-4.769830264713772,202.1143912316195,-202.1143912316195
Gruppe,group,5,Group (Gruppe),98,399,497,1.110846623819725,4.418751453536663,-1.986444118330715,188.5608431987592,-188.5608431987592
sich,group,6,Reflexive pronoun (sich),297,716,1013,3.366545380351617,7.929388573263784,-1.234521280925954,169.0140046689884,-169.0140046689884
Rückmeldung,group,7,Feedback / status,29,215,244,0.3287199192935922,2.381031484988427,-2.835345254586371,156.0220275241706,-156.0220275241706
Datum,group,8,Date (Datum),223,568,791,2.527742827671416,6.290352946388031,-1.313329762568044,147.7325483384821,-147.7325483384821
