token,view,item_type,direction,direct_count,group_count,total_count,direct_freq_per_1000,group_freq_per_1000,difference_per_1000_direct_minus_group,log_ratio_direct_vs_group,log_likelihood,signed_log_likelihood,_dedup_key,selection_rank,selected_direction,display_label
du,all,token,direct,931,129,1060,10.55304292628739,1.428618890993056,9.124424035294338,2.88015942639597,703.2443643586064,703.2443643586064,du,1,direct,Second-person pronoun (du)
ich,all,token,direct,1768,715,2483,20.04057990727831,7.918314008217327,12.12226589906098,1.339058302115137,485.8409436103395,485.8409436103395,ich,2,direct,First-person pronoun (ich)
QuestionMark,all,token,direct,1522,635,2157,17.25212817809818,7.032348804500703,10.21977937359748,1.294033952929622,396.7199735723302,396.7199735723302,questionmark,3,direct,Question marker (?)
dir,all,token,direct,308,38,346,3.491232246290565,0.4208334717653964,3.070398774525169,3.035895893595403,246.4470116912277,246.4470116912277,dir,4,direct,Second-person pronoun (dir)
PatName,all,token,direct,1167,635,1802,13.22814295915938,7.032348804500703,6.19579415465868,0.9110142747329513,172.0436790796423,172.0436790796423,patname,5,direct,Patient reference (PatName)
ja,all,token,direct,463,160,623,5.248183539066662,1.771930407433248,3.476253131633413,1.563551796644114,160.9390947665718,160.9390947665718,ja,6,direct,Affirmation (ja)
hast,all,token,direct,178,20,198,2.017660194284808,0.221491300929156,1.796168893355652,3.155784014551902,148.5785073945466,148.5785073945466,hast,7,direct,Verb form (hast)
Hi,all,token,direct,144,10,154,1.632264426837148,0.110745650464578,1.52151877637257,3.816164014862804,142.6034236678143,142.6034236678143,hi,8,direct,Informal greeting (Hi)
Hashtag_PatName,all,token,group,697,3270,3967,7.900613232677028,36.213827701917,-28.31321446923998,-2.195690337236625,1752.322347551022,-1752.322347551022,hashtag_patname,1,group,Hashtagged patient reference
kein_Todo,all,token,group,11,651,662,0.1246868659389488,7.209541845244028,-7.08485497930508,-5.790503657370236,790.9721603889657,-790.9721603889657,kein_todo,2,group,No active to-do
Mention_KolName,all,token,group,86,606,692,0.9748245882499632,6.711186418153427,-5.736361829903464,-2.7761798523429,427.8138148460805,-427.8138148460805,mention_kolname,3,group,Colleague mention
anwesend,all,token,group,6,181,187,0.06801101778488115,2.004496273408862,-1.936485255623981,-4.769830264713772,202.1143912316195,-202.1143912316195,anwesend,4,group,Attendance (anwesend)
Gruppe,all,token,group,98,399,497,1.110846623819725,4.418751453536663,-3.307904829716938,-1.986444118330715,188.5608431987592,-188.5608431987592,gruppe,5,group,Group (Gruppe)
sich,all,token,group,297,716,1013,3.366545380351617,7.929388573263784,-4.562843192912167,-1.234521280925954,169.0140046689884,-169.0140046689884,sich,6,group,Reflexive pronoun (sich)
Rückmeldung,all,token,group,29,215,244,0.3287199192935922,2.381031484988427,-2.052311565694835,-2.835345254586371,156.0220275241706,-156.0220275241706,rückmeldung,7,group,Feedback / status
Datum,all,token,group,223,568,791,2.527742827671416,6.290352946388031,-3.762610118716614,-1.313329762568044,147.7325483384821,-147.7325483384821,datum,8,group,Date (Datum)
