direction,weekday,hour,message_count,volume_class
direct,0,5,6,low
direct,0,6,75,middle
direct,0,7,128,high
direct,0,8,85,middle
direct,0,9,106,high
direct,0,10,162,high
direct,0,11,169,high
direct,0,12,96,middle
direct,0,13,53,middle
direct,0,14,72,middle
direct,0,15,37,middle
direct,0,16,46,middle
direct,0,17,10,middle
direct,1,5,7,middle
direct,1,6,86,middle
direct,1,7,116,high
direct,1,8,105,high
direct,1,9,123,high
direct,1,10,151,high
direct,1,11,59,middle
direct,1,12,88,middle
direct,1,13,121,high
direct,1,14,86,middle
direct,1,15,42,middle
direct,1,16,13,middle
direct,1,17,8,middle
direct,1,19,1,low
direct,2,5,6,low
direct,2,6,58,middle
direct,2,7,55,middle
direct,2,8,45,middle
direct,2,9,112,high
direct,2,10,163,high
direct,2,11,144,high
direct,2,12,169,high
direct,2,13,116,high
direct,2,14,105,high
direct,2,15,49,middle
direct,2,16,24,middle
direct,2,17,11,middle
direct,2,19,1,low
direct,3,5,5,low
direct,3,6,60,middle
direct,3,7,58,middle
direct,3,8,112,high
direct,3,9,130,high
direct,3,10,87,middle
direct,3,11,93,middle
direct,3,12,128,high
direct,3,13,103,middle
direct,3,14,114,high
direct,3,15,55,middle
direct,3,16,27,middle
direct,3,17,2,low
direct,3,18,1,low
direct,3,20,1,low
direct,4,5,6,low
direct,4,6,44,middle
direct,4,7,64,middle
direct,4,8,85,middle
direct,4,9,108,high
direct,4,10,137,high
direct,4,11,121,high
direct,4,12,66,middle
direct,4,13,57,middle
direct,4,14,49,middle
direct,4,15,24,middle
direct,4,16,16,middle
direct,4,17,4,low
direct,4,18,2,low
direct,5,6,2,low
direct,5,8,1,low
direct,5,9,6,low
direct,5,10,16,middle
direct,5,11,2,low
direct,5,13,1,low
direct,5,14,2,low
direct,5,15,3,low
direct,6,8,6,low
direct,6,9,1,low
direct,6,10,5,low
direct,6,11,1,low
direct,6,18,1,low
group,0,5,2,low
group,0,6,46,high
group,0,7,49,high
group,0,8,31,middle
group,0,9,24,middle
group,0,10,20,middle
group,0,11,39,middle
group,0,12,19,middle
group,0,13,38,middle
group,0,14,65,high
group,0,15,21,middle
group,0,16,2,low
group,0,17,5,low
group,1,5,5,low
group,1,6,30,middle
group,1,7,44,middle
group,1,8,50,high
group,1,9,31,middle
group,1,10,34,middle
group,1,11,24,middle
group,1,12,25,middle
group,1,13,62,high
group,1,14,51,high
group,1,15,21,middle
group,1,16,10,middle
group,2,5,9,middle
group,2,6,38,middle
group,2,7,25,middle
group,2,8,34,middle
group,2,9,27,middle
group,2,10,53,high
group,2,11,50,high
group,2,12,45,high
group,2,13,29,middle
group,2,14,82,high
group,2,15,66,high
group,2,16,39,middle
group,2,17,12,middle
group,2,18,1,low
group,2,19,4,low
group,3,4,1,low
group,3,5,6,low
group,3,6,44,middle
group,3,7,36,middle
group,3,8,40,middle
group,3,9,53,high
group,3,10,42,middle
group,3,11,52,high
group,3,12,59,high
group,3,13,94,high
group,3,14,84,high
group,3,15,28,middle
group,3,16,12,middle
group,3,17,6,low
group,4,5,3,low
group,4,6,41,middle
group,4,7,34,middle
group,4,8,35,middle
group,4,9,37,middle
group,4,10,39,middle
group,4,11,59,high
group,4,12,77,high
group,4,13,70,high
group,4,14,94,high
group,4,15,42,middle
group,4,16,57,high
group,4,17,31,middle
group,4,18,9,middle
group,4,19,3,low
group,5,6,3,low
group,5,7,6,low
group,5,8,2,low
group,5,9,11,middle
group,5,10,32,middle
group,5,11,14,middle
group,5,12,2,low
group,5,14,5,low
group,5,22,1,low
group,6,7,2,low
group,6,8,6,low
group,6,9,8,middle
group,6,10,3,low
group,6,11,2,low
