comparison,item,direct_count,group_count,combined_count,direct_per_1000_tokens,group_per_1000_tokens,difference_direct_minus_group_per_1000,log_ratio_direct_vs_group,log_likelihood_g2,dominant_modality,direct_tokens_denominator,group_tokens_denominator
direct_vs_group_full,Hashtag_PatName,697,3270,3967,7.9006,36.2138,-28.3132,-2.1957,1752.3223,group,88221,90297
direct_vs_group_full,kein_Todo,11,651,662,0.1247,7.2095,-7.0849,-5.7905,790.9722,group,88221,90297
direct_vs_group_full,du,931,129,1060,10.553,1.4286,9.1244,2.8802,703.2444,direct,88221,90297
direct_vs_group_full,ich,1768,715,2483,20.0406,7.9183,12.1223,1.3391,485.8409,direct,88221,90297
direct_vs_group_full,Mention_KolName,86,606,692,0.9748,6.7112,-5.7364,-2.7762,427.8138,group,88221,90297
direct_vs_group_full,QuestionMark,1522,635,2157,17.2521,7.0323,10.2198,1.294,396.72,direct,88221,90297
direct_vs_group_full,dir,308,38,346,3.4912,0.4208,3.0704,3.0359,246.447,direct,88221,90297
direct_vs_group_full,anwesend,6,181,187,0.068,2.0045,-1.9365,-4.7698,202.1144,group,88221,90297
direct_vs_group_full,Gruppe,98,399,497,1.1108,4.4188,-3.3079,-1.9864,188.5608,group,88221,90297
direct_vs_group_full,PatName,1167,635,1802,13.2281,7.0323,6.1958,0.911,172.0437,direct,88221,90297
direct_vs_group_full,Du,272,51,323,3.0832,0.5648,2.5184,2.4372,171.1962,direct,88221,90297
direct_vs_group_full,sich,297,716,1013,3.3665,7.9294,-4.5628,-1.2345,169.014,group,88221,90297
direct_vs_group_full,ja,463,160,623,5.2482,1.7719,3.4763,1.5636,160.9391,direct,88221,90297
direct_vs_group_full,Rückmeldung,29,215,244,0.3287,2.381,-2.0523,-2.8353,156.022,group,88221,90297
direct_vs_group_full,hast,178,20,198,2.0177,0.2215,1.7962,3.1558,148.5785,direct,88221,90297
direct_vs_group_full,Datum,223,568,791,2.5277,6.2904,-3.7626,-1.3133,147.7325,group,88221,90297
direct_vs_group_full,Hi,144,10,154,1.6323,0.1107,1.5215,3.8162,142.6034,direct,88221,90297
direct_vs_group_full,KolName,1333,825,2158,15.1098,9.1365,5.9733,0.7254,132.822,direct,88221,90297
direct_vs_group_full,MT,0,96,96,0.0,1.0632,-1.0632,-7.5589,130.8644,group,88221,90297
direct_vs_group_full,ok,227,50,277,2.5731,0.5537,2.0194,2.2051,126.5818,direct,88221,90297
direct_vs_group_full,WE,6,121,127,0.068,1.34,-1.272,-4.1908,125.0607,group,88221,90297
direct_vs_group_full,mal,381,139,520,4.3187,1.5394,2.7793,1.485,122.787,direct,88221,90297
direct_vs_group_full,Thema,38,196,234,0.4307,2.1706,-1.7399,-2.318,113.1368,group,88221,90297
direct_vs_group_full,noch,880,511,1391,9.9749,5.6591,4.3158,0.8171,107.8396,direct,88221,90297
direct_vs_group_full,waren,37,188,225,0.4194,2.082,-1.6626,-2.296,107.2994,group,88221,90297
direct_vs_group_full,danke,193,45,238,2.1877,0.4984,1.6893,2.122,102.6098,direct,88221,90297
direct_vs_group_full,dich,125,15,140,1.4169,0.1661,1.2508,3.0509,101.3187,direct,88221,90297
direct_vs_group_full,wir,554,278,832,6.2797,3.0787,3.201,1.0271,99.8476,direct,88221,90297
direct_vs_group_full,Ausgang,7,104,111,0.0793,1.1518,-1.0724,-3.7669,99.3979,group,88221,90297
direct_vs_group_full,das,1007,641,1648,11.4145,7.0988,4.3157,0.6848,90.7015,direct,88221,90297
direct_vs_group_full,Ich,548,286,834,6.2117,3.1673,3.0443,0.9705,89.9239,direct,88221,90297
direct_vs_group_full,schon,400,182,582,4.5341,2.0156,2.5185,1.1675,88.831,direct,88221,90297
direct_vs_group_full,Hey,72,2,74,0.8161,0.0221,0.794,4.8915,85.8348,direct,88221,90297
direct_vs_group_full,Mention_All,0,62,62,0.0,0.6866,-0.6866,-6.9322,84.5166,group,88221,90297
direct_vs_group_full,mir,315,132,447,3.5706,1.4618,2.1087,1.2852,81.4836,direct,88221,90297
direct_vs_group_full,Klinik,47,179,226,0.5328,1.9823,-1.4496,-1.8844,79.179,group,88221,90297
direct_vs_group_full,BE,17,113,130,0.1927,1.2514,-1.0587,-2.6637,77.1629,group,88221,90297
direct_vs_group_full,Hallo,215,73,288,2.4371,0.8084,1.6286,1.5854,76.5107,direct,88221,90297
direct_vs_group_full,Brief,168,47,215,1.9043,0.5205,1.3838,1.8603,75.0881,direct,88221,90297
direct_vs_group_full,n,5,77,82,0.0567,0.8527,-0.7961,-3.7831,74.351,group,88221,90297
direct_vs_group_full,bist,80,7,87,0.9068,0.0775,0.8293,3.4576,73.6163,direct,88221,90297
direct_vs_group_full,kannst,135,31,166,1.5302,0.3433,1.1869,2.1384,72.7177,direct,88221,90297
direct_vs_group_full,so,301,132,433,3.4119,1.4618,1.95,1.2197,71.736,direct,88221,90297
direct_vs_group_full,eben,79,8,87,0.8955,0.0886,0.8069,3.259,68.8466,direct,88221,90297
direct_vs_group_full,KT,4,69,73,0.0453,0.7641,-0.7188,-3.9155,68.6875,group,88221,90297
direct_vs_group_full,konnte,37,144,181,0.4194,1.5947,-1.1753,-1.9126,65.1133,group,88221,90297
direct_vs_group_full,Übergabe,67,198,265,0.7595,2.1928,-1.4333,-1.5226,64.6826,group,88221,90297
direct_vs_group_full,Themen,7,75,82,0.0793,0.8306,-0.7512,-3.298,64.2696,group,88221,90297
direct_vs_group_full,GT,23,113,136,0.2607,1.2514,-0.9907,-2.2384,62.8413,group,88221,90297
direct_vs_group_full,gerade,193,70,263,2.1877,0.7752,1.4125,1.4902,62.7266,direct,88221,90297
direct_vs_group_full,mich,271,122,393,3.0718,1.3511,1.7207,1.1817,61.4476,direct,88221,90297
direct_vs_group_full,Z,8,75,83,0.0907,0.8306,-0.7399,-3.1174,60.882,group,88221,90297
direct_vs_group_full,20,9,77,86,0.102,0.8527,-0.7507,-2.9946,59.9997,group,88221,90297
direct_vs_group_full,hab,104,22,126,1.1789,0.2436,0.9352,2.2491,59.8935,direct,88221,90297
direct_vs_group_full,es,784,523,1307,8.8868,5.792,3.0948,0.6171,58.7196,direct,88221,90297
direct_vs_group_full,bitte,173,352,525,1.961,3.8982,-1.9373,-0.9891,58.1792,group,88221,90297
direct_vs_group_full,Raum,19,99,118,0.2154,1.0964,-0.881,-2.3177,57.5788,group,88221,90297
direct_vs_group_full,aktives,1,48,49,0.0113,0.5316,-0.5202,-4.9814,57.0788,group,88221,90297
direct_vs_group_full,00,58,172,230,0.6574,1.9048,-1.2474,-1.5265,56.4603,group,88221,90297
direct_vs_group_full,Ja,101,23,124,1.1449,0.2547,0.8901,2.1443,54.7887,direct,88221,90297
direct_vs_group_full,alle,62,175,237,0.7028,1.938,-1.2353,-1.456,53.5348,group,88221,90297
direct_vs_group_full,Alle,4,56,60,0.0453,0.6202,-0.5748,-3.6167,52.5847,group,88221,90297
direct_vs_group_full,ÖGD,9,70,79,0.102,0.7752,-0.6732,-2.8581,52.0757,group,88221,90297
direct_vs_group_full,am,366,597,963,4.1487,6.6115,-2.4628,-0.6716,50.7126,group,88221,90297
direct_vs_group_full,Umgang,5,57,62,0.0567,0.6313,-0.5746,-3.3525,49.9867,group,88221,90297
direct_vs_group_full,dann,541,342,883,6.1323,3.7875,2.3448,0.6944,49.9838,direct,88221,90297
direct_vs_group_full,fertig,94,22,116,1.0655,0.2436,0.8219,2.1039,49.8129,direct,88221,90297
direct_vs_group_full,Depression,6,59,65,0.068,0.6534,-0.5854,-3.1608,48.8654,group,88221,90297
direct_vs_group_full,ist,853,606,1459,9.6689,6.7112,2.9577,0.5264,47.96,direct,88221,90297
direct_vs_group_full,gleich,97,25,122,1.0995,0.2769,0.8226,1.9685,47.0757,direct,88221,90297
direct_vs_group_full,bB,3,48,51,0.034,0.5316,-0.4976,-3.759,46.842,group,88221,90297
direct_vs_group_full,Kannst,63,9,72,0.7141,0.0997,0.6144,2.7743,46.824,direct,88221,90297
direct_vs_group_full,Fach,33,0,33,0.3741,0.0,0.3741,6.0996,46.5197,direct,88221,90297
direct_vs_group_full,vom,36,120,156,0.4081,1.3289,-0.9209,-1.6895,45.7856,group,88221,90297
direct_vs_group_full,klar,112,34,146,1.2695,0.3765,0.893,1.7388,45.7561,direct,88221,90297
direct_vs_group_full,Patient,397,623,1020,4.5001,6.8995,-2.3994,-0.6159,45.3739,group,88221,90297
direct_vs_group_full,Hast,45,3,48,0.5101,0.0332,0.4769,3.734,45.0815,direct,88221,90297
direct_vs_group_full,würde,234,114,348,2.6524,1.2625,1.3899,1.0678,45.0792,direct,88221,90297
direct_vs_group_full,auch,690,477,1167,7.8213,5.2826,2.5387,0.5657,44.2074,direct,88221,90297
direct_vs_group_full,stabil,4,49,53,0.0453,0.5427,-0.4973,-3.4259,44.0719,group,88221,90297
direct_vs_group_full,Typ,1,38,39,0.0113,0.4208,-0.4095,-4.6483,43.9089,group,88221,90297
direct_vs_group_full,Kalinor,2,42,44,0.0227,0.4651,-0.4425,-4.0539,43.8007,group,88221,90297
direct_vs_group_full,hatte,222,107,329,2.5164,1.185,1.3314,1.083,43.7783,direct,88221,90297
