comparison,item,direct_count,group_count,combined_count,direct_per_1000_tokens,group_per_1000_tokens,difference_direct_minus_group_per_1000,log_ratio_direct_vs_group,log_likelihood_g2,dominant_modality,direct_tokens_denominator,group_tokens_denominator
direct_vs_group_nonadjacent,Hashtag_PatName,697,3259,3956,7.9006,37.4589,-29.5583,-2.2445,1836.4788,group,88221,87002
direct_vs_group_nonadjacent,kein_Todo,11,651,662,0.1247,7.4826,-7.3579,-5.8441,814.7055,group,88221,87002
direct_vs_group_nonadjacent,du,931,123,1054,10.553,1.4138,9.1393,2.895,690.4619,direct,88221,87002
direct_vs_group_nonadjacent,ich,1768,704,2472,20.0406,8.0918,11.9488,1.3078,458.5892,direct,88221,87002
direct_vs_group_nonadjacent,Mention_KolName,86,599,685,0.9748,6.8849,-5.9101,-2.8131,439.15,group,88221,87002
direct_vs_group_nonadjacent,QuestionMark,1522,599,2121,17.2521,6.8849,10.3672,1.3245,402.6724,direct,88221,87002
direct_vs_group_nonadjacent,KolName,1333,605,1938,15.1098,6.9539,8.1559,1.1189,270.2587,direct,88221,87002
direct_vs_group_nonadjacent,dir,308,36,344,3.4912,0.4138,3.0774,3.0592,242.5107,direct,88221,87002
direct_vs_group_nonadjacent,anwesend,6,181,187,0.068,2.0804,-2.0124,-4.8235,208.6034,group,88221,87002
direct_vs_group_nonadjacent,Gruppe,98,399,497,1.1108,4.5861,-3.4753,-2.0401,199.7068,group,88221,87002
direct_vs_group_nonadjacent,PatName,1167,589,1756,13.2281,6.77,6.4582,0.9658,185.8892,direct,88221,87002
direct_vs_group_nonadjacent,sich,297,705,1002,3.3665,8.1033,-4.7367,-1.2658,176.7825,group,88221,87002
direct_vs_group_nonadjacent,Du,272,50,322,3.0832,0.5747,2.5085,2.4118,165.2609,direct,88221,87002
direct_vs_group_nonadjacent,Rückmeldung,29,215,244,0.3287,2.4712,-2.1425,-2.889,162.915,group,88221,87002
direct_vs_group_nonadjacent,ja,463,156,619,5.2482,1.7931,3.4551,1.5463,154.9706,direct,88221,87002
direct_vs_group_nonadjacent,Datum,223,556,779,2.5277,6.3907,-3.8629,-1.3362,151.7061,group,88221,87002
direct_vs_group_nonadjacent,hast,178,19,197,2.0177,0.2184,1.7993,3.1743,145.9186,direct,88221,87002
direct_vs_group_nonadjacent,Hi,144,10,154,1.6323,0.1149,1.5173,3.7625,137.6088,direct,88221,87002
direct_vs_group_nonadjacent,MT,0,96,96,0.0,1.1034,-1.1034,-7.6125,134.4246,group,88221,87002
direct_vs_group_nonadjacent,WE,6,121,127,0.068,1.3908,-1.3228,-4.2444,129.3245,group,88221,87002
direct_vs_group_nonadjacent,ok,227,50,277,2.5731,0.5747,1.9984,2.1514,119.9781,direct,88221,87002
direct_vs_group_nonadjacent,Thema,38,196,234,0.4307,2.2528,-1.8221,-2.3717,118.9898,group,88221,87002
direct_vs_group_nonadjacent,mal,381,135,516,4.3187,1.5517,2.767,1.4733,118.7852,direct,88221,87002
direct_vs_group_nonadjacent,waren,37,188,225,0.4194,2.1609,-1.7415,-2.3497,112.893,group,88221,87002
