comparison,item,direct_count,group_count,combined_count,direct_per_1000_tokens,group_per_1000_tokens,difference_direct_minus_group_per_1000,log_ratio_direct_vs_group,log_likelihood_g2,dominant_modality,direct_tokens_denominator,group_tokens_denominator
direct_vs_group_psychosomatic,Hashtag_PatName,697,3234,3931,7.9006,41.0141,-33.1135,-2.3753,2072.9582,group,88221,78851
direct_vs_group_psychosomatic,kein_Todo,11,651,662,0.1247,8.2561,-8.1314,-5.9861,879.7165,group,88221,78851
direct_vs_group_psychosomatic,du,931,86,1017,10.553,1.0907,9.4624,3.2668,728.7853,direct,88221,78851
direct_vs_group_psychosomatic,ich,1768,558,2326,20.0406,7.0766,12.9639,1.5009,532.9131,direct,88221,78851
direct_vs_group_psychosomatic,QuestionMark,1522,482,2004,17.2521,6.1128,11.1393,1.4958,456.5478,direct,88221,78851
direct_vs_group_psychosomatic,Mention_KolName,86,546,632,0.9748,6.9245,-5.9496,-2.8214,426.9916,group,88221,78851
direct_vs_group_psychosomatic,KolName,1333,512,1845,15.1098,6.4933,8.6165,1.2176,292.0877,direct,88221,78851
direct_vs_group_psychosomatic,dir,308,26,334,3.4912,0.3297,3.1615,3.3792,249.7304,direct,88221,78851
direct_vs_group_psychosomatic,anwesend,6,179,185,0.068,2.2701,-2.2021,-4.9494,223.5262,group,88221,78851
direct_vs_group_psychosomatic,Gruppe,98,392,490,1.1108,4.9714,-3.8606,-2.1565,223.4453,group,88221,78851
direct_vs_group_psychosomatic,PatName,1167,501,1668,13.2281,6.3538,6.8744,1.0571,203.9529,direct,88221,78851
direct_vs_group_psychosomatic,sich,297,665,962,3.3665,8.4336,-5.0671,-1.3235,188.7765,group,88221,78851
direct_vs_group_psychosomatic,ja,463,117,580,5.2482,1.4838,3.7644,1.8179,183.7987,direct,88221,78851
direct_vs_group_psychosomatic,Rückmeldung,29,212,241,0.3287,2.6886,-2.3599,-3.0107,178.2279,group,88221,78851
direct_vs_group_psychosomatic,Du,272,39,311,3.0832,0.4946,2.5886,2.6243,171.1178,direct,88221,78851
direct_vs_group_psychosomatic,Datum,223,526,749,2.5277,6.6708,-4.1431,-1.3982,162.5409,group,88221,78851
direct_vs_group_psychosomatic,hast,178,12,190,2.0177,0.1522,1.8655,3.6739,155.8387,direct,88221,78851
direct_vs_group_psychosomatic,Hi,144,4,148,1.6323,0.0507,1.5815,4.843,153.1397,direct,88221,78851
direct_vs_group_psychosomatic,MT,0,96,96,0.0,1.2175,-1.2175,-7.7545,144.1661,group,88221,78851
direct_vs_group_psychosomatic,WE,6,121,127,0.068,1.5345,-1.4665,-4.3864,141.0312,group,88221,78851
direct_vs_group_psychosomatic,Thema,38,194,232,0.4307,2.4603,-2.0296,-2.4988,132.967,group,88221,78851
direct_vs_group_psychosomatic,mal,381,109,490,4.3187,1.3824,2.9363,1.6388,130.896,direct,88221,78851
direct_vs_group_psychosomatic,ok,227,38,265,2.5731,0.4819,2.0912,2.4009,129.108,direct,88221,78851
