comparison,item,direct_count,group_count,combined_count,direct_per_1000_tokens,group_per_1000_tokens,difference_direct_minus_group_per_1000,log_ratio_direct_vs_group,log_likelihood_g2,dominant_modality,direct_tokens_denominator,group_tokens_denominator,direct_units_with_item,direct_unit_coverage_pct,group_units_with_item,group_unit_coverage_pct,group_full_per_1000_tokens,group_rate_change_from_full_pct,direction_same_as_full
direct_vs_group_full,Hashtag_PatName,697,3270,3967,7.9006,36.2138,-28.3132,-2.1957,1752.3223,group,88221,90297,88,30.0341,28,32.5581,36.2138,0.0,True
direct_vs_group_full,kein_Todo,11,651,662,0.1247,7.2095,-7.0849,-5.7905,790.9722,group,88221,90297,2,0.6826,3,3.4884,7.2095,0.0,True
direct_vs_group_full,du,931,129,1060,10.553,1.4286,9.1244,2.8802,703.2444,direct,88221,90297,159,54.2662,26,30.2326,1.4286,0.0,True
direct_vs_group_full,ich,1768,715,2483,20.0406,7.9183,12.1223,1.3391,485.8409,direct,88221,90297,199,67.9181,52,60.4651,7.9183,0.0,True
direct_vs_group_full,Mention_KolName,86,606,692,0.9748,6.7112,-5.7364,-2.7762,427.8138,group,88221,90297,23,7.8498,34,39.5349,6.7112,0.0,True
direct_vs_group_full,QuestionMark,1522,635,2157,17.2521,7.0323,10.2198,1.294,396.72,direct,88221,90297,195,66.5529,59,68.6047,7.0323,0.0,True
direct_vs_group_full,anwesend,6,181,187,0.068,2.0045,-1.9365,-4.7698,202.1144,group,88221,90297,6,2.0478,7,8.1395,2.0045,0.0,True
direct_vs_group_full,PatName,1167,635,1802,13.2281,7.0323,6.1958,0.911,172.0437,direct,88221,90297,183,62.4573,53,61.6279,7.0323,0.0,True
direct_vs_group_full,Rückmeldung,29,215,244,0.3287,2.381,-2.0523,-2.8353,156.022,group,88221,90297,26,8.8737,9,10.4651,2.381,0.0,True
direct_vs_group_nonadjacent,Hashtag_PatName,697,3259,3956,7.9006,37.4589,-29.5583,-2.2445,1836.4788,group,88221,87002,88,30.0341,26,39.3939,36.2138,3.4381,True
direct_vs_group_nonadjacent,kein_Todo,11,651,662,0.1247,7.4826,-7.3579,-5.8441,814.7055,group,88221,87002,2,0.6826,3,4.5455,7.2095,3.7873,True
direct_vs_group_nonadjacent,du,931,123,1054,10.553,1.4138,9.1393,2.895,690.4619,direct,88221,87002,159,54.2662,23,34.8485,1.4286,-1.04,True
direct_vs_group_nonadjacent,ich,1768,704,2472,20.0406,8.0918,11.9488,1.3078,458.5892,direct,88221,87002,199,67.9181,45,68.1818,7.9183,2.1905,True
direct_vs_group_nonadjacent,Mention_KolName,86,599,685,0.9748,6.8849,-5.9101,-2.8131,439.15,group,88221,87002,23,7.8498,29,43.9394,6.7112,2.5884,True
direct_vs_group_nonadjacent,QuestionMark,1522,599,2121,17.2521,6.8849,10.3672,1.3245,402.6724,direct,88221,87002,195,66.5529,48,72.7273,7.0323,-2.0967,True
direct_vs_group_nonadjacent,anwesend,6,181,187,0.068,2.0804,-2.0124,-4.8235,208.6034,group,88221,87002,6,2.0478,7,10.6061,2.0045,3.7873,True
direct_vs_group_nonadjacent,PatName,1167,589,1756,13.2281,6.77,6.4582,0.9658,185.8892,direct,88221,87002,183,62.4573,40,60.6061,7.0323,-3.7312,True
direct_vs_group_nonadjacent,Rückmeldung,29,215,244,0.3287,2.4712,-2.1425,-2.889,162.915,group,88221,87002,26,8.8737,9,13.6364,2.381,3.7873,True
direct_vs_group_psychosomatic,Hashtag_PatName,697,3234,3931,7.9006,41.0141,-33.1135,-2.3753,2072.9582,group,88221,78851,88,30.0341,12,48.0,36.2138,13.2553,True
direct_vs_group_psychosomatic,kein_Todo,11,651,662,0.1247,8.2561,-8.1314,-5.9861,879.7165,group,88221,78851,2,0.6826,3,12.0,7.2095,14.516,True
direct_vs_group_psychosomatic,du,931,86,1017,10.553,1.0907,9.4624,3.2668,728.7853,direct,88221,78851,159,54.2662,11,44.0,1.4286,-23.656,True
direct_vs_group_psychosomatic,ich,1768,558,2326,20.0406,7.0766,12.9639,1.5009,532.9131,direct,88221,78851,199,67.9181,17,68.0,7.9183,-10.6295,True
direct_vs_group_psychosomatic,QuestionMark,1522,482,2004,17.2521,6.1128,11.1393,1.4958,456.5478,direct,88221,78851,195,66.5529,17,68.0,7.0323,-13.0761,True
direct_vs_group_psychosomatic,Mention_KolName,86,546,632,0.9748,6.9245,-5.9496,-2.8214,426.9916,group,88221,78851,23,7.8498,14,56.0,6.7112,3.1778,True
direct_vs_group_psychosomatic,anwesend,6,179,185,0.068,2.2701,-2.2021,-4.9494,223.5262,group,88221,78851,6,2.0478,5,20.0,2.0045,13.2506,True
direct_vs_group_psychosomatic,PatName,1167,501,1668,13.2281,6.3538,6.8744,1.0571,203.9529,direct,88221,78851,183,62.4573,13,52.0,7.0323,-9.6496,True
direct_vs_group_psychosomatic,Rückmeldung,29,212,241,0.3287,2.6886,-2.3599,-3.0107,178.2279,group,88221,78851,26,8.8737,6,24.0,2.381,12.9181,True
