corpus,hour,messages,parseable_messages,percentage
group_full,0,0,2547,0.0
group_full,1,0,2547,0.0
group_full,2,0,2547,0.0
group_full,3,0,2547,0.0
group_full,4,1,2547,0.0393
group_full,5,25,2547,0.9815
group_full,6,202,2547,7.9309
group_full,7,196,2547,7.6953
group_full,8,198,2547,7.7739
group_full,9,191,2547,7.499
group_full,10,223,2547,8.7554
group_full,11,240,2547,9.4229
group_full,12,227,2547,8.9124
group_full,13,293,2547,11.5037
group_full,14,381,2547,14.9588
group_full,15,178,2547,6.9886
group_full,16,120,2547,4.7114
group_full,17,54,2547,2.1201
group_full,18,10,2547,0.3926
group_full,19,7,2547,0.2748
group_full,20,0,2547,0.0
group_full,21,0,2547,0.0
group_full,22,1,2547,0.0393
group_full,23,0,2547,0.0
group_nonadjacent,0,0,2287,0.0
group_nonadjacent,1,0,2287,0.0
group_nonadjacent,2,0,2287,0.0
group_nonadjacent,3,0,2287,0.0
group_nonadjacent,4,0,2287,0.0
group_nonadjacent,5,18,2287,0.7871
group_nonadjacent,6,145,2287,6.3402
group_nonadjacent,7,163,2287,7.1272
group_nonadjacent,8,161,2287,7.0398
group_nonadjacent,9,173,2287,7.5645
group_nonadjacent,10,202,2287,8.8325
group_nonadjacent,11,223,2287,9.7508
group_nonadjacent,12,203,2287,8.8763
group_nonadjacent,13,279,2287,12.1994
group_nonadjacent,14,362,2287,15.8286
group_nonadjacent,15,171,2287,7.477
group_nonadjacent,16,117,2287,5.1159
group_nonadjacent,17,52,2287,2.2737
group_nonadjacent,18,10,2287,0.4373
group_nonadjacent,19,7,2287,0.3061
group_nonadjacent,20,0,2287,0.0
group_nonadjacent,21,0,2287,0.0
group_nonadjacent,22,1,2287,0.0437
group_nonadjacent,23,0,2287,0.0
group_psychosomatic,0,0,2004,0.0
group_psychosomatic,1,0,2004,0.0
group_psychosomatic,2,0,2004,0.0
group_psychosomatic,3,0,2004,0.0
group_psychosomatic,4,0,2004,0.0
group_psychosomatic,5,15,2004,0.7485
group_psychosomatic,6,121,2004,6.0379
group_psychosomatic,7,116,2004,5.7884
group_psychosomatic,8,127,2004,6.3373
group_psychosomatic,9,150,2004,7.485
group_psychosomatic,10,173,2004,8.6327
group_psychosomatic,11,182,2004,9.0818
group_psychosomatic,12,184,2004,9.1816
group_psychosomatic,13,259,2004,12.9242
group_psychosomatic,14,340,2004,16.9661
group_psychosomatic,15,161,2004,8.0339
group_psychosomatic,16,110,2004,5.489
group_psychosomatic,17,48,2004,2.3952
group_psychosomatic,18,10,2004,0.499
group_psychosomatic,19,7,2004,0.3493
group_psychosomatic,20,0,2004,0.0
group_psychosomatic,21,0,2004,0.0
group_psychosomatic,22,1,2004,0.0499
group_psychosomatic,23,0,2004,0.0
