corpus,weekday,messages,total_messages,percentage
group_full,Monday,361,2547,14.1735
group_full,Tuesday,387,2547,15.1943
group_full,Wednesday,514,2547,20.1806
group_full,Thursday,557,2547,21.8689
group_full,Friday,631,2547,24.7742
group_full,Saturday,76,2547,2.9839
group_full,Sunday,21,2547,0.8245
group_nonadjacent,Monday,308,2287,13.4674
group_nonadjacent,Tuesday,347,2287,15.1727
group_nonadjacent,Wednesday,450,2287,19.6764
group_nonadjacent,Thursday,503,2287,21.9939
group_nonadjacent,Friday,588,2287,25.7105
group_nonadjacent,Saturday,72,2287,3.1482
group_nonadjacent,Sunday,19,2287,0.8308
group_psychosomatic,Monday,251,2004,12.525
group_psychosomatic,Tuesday,296,2004,14.7705
group_psychosomatic,Wednesday,401,2004,20.01
group_psychosomatic,Thursday,426,2004,21.2575
group_psychosomatic,Friday,542,2004,27.0459
group_psychosomatic,Saturday,69,2004,3.4431
group_psychosomatic,Sunday,19,2004,0.9481
