direction,message_type,hour,hour_interval,count,relative_frequency
direct,Direct messages,0,0:00–1:00,0,0.0
direct,Direct messages,1,1:00–2:00,0,0.0
direct,Direct messages,2,2:00–3:00,0,0.0
direct,Direct messages,3,3:00–4:00,0,0.0
direct,Direct messages,4,4:00–5:00,0,0.0
direct,Direct messages,5,5:00–6:00,30,0.6103763987792472
direct,Direct messages,6,6:00–7:00,325,6.612410986775178
direct,Direct messages,7,7:00–8:00,421,8.56561546286877
direct,Direct messages,8,8:00–9:00,439,8.931841302136318
direct,Direct messages,9,9:00–10:00,586,11.922685656154629
direct,Direct messages,10,10:00–11:00,721,14.669379450661241
direct,Direct messages,11,11:00–12:00,589,11.983723296032553
direct,Direct messages,12,12:00–13:00,547,11.129196337741607
direct,Direct messages,13,13:00–14:00,451,9.175991861648017
direct,Direct messages,14,14:00–15:00,428,8.708036622583927
direct,Direct messages,15,15:00–16:00,210,4.27263479145473
direct,Direct messages,16,16:00–17:00,126,2.563580874872838
direct,Direct messages,17,17:00–18:00,35,0.7121057985757884
direct,Direct messages,18,18:00–19:00,4,0.08138351983723296
direct,Direct messages,19,19:00–20:00,2,0.04069175991861648
direct,Direct messages,20,20:00–21:00,1,0.02034587995930824
direct,Direct messages,21,21:00–22:00,0,0.0
direct,Direct messages,22,22:00–23:00,0,0.0
direct,Direct messages,23,23:00–24:00,0,0.0
group,Group messages,0,0:00–1:00,0,0.0
group,Group messages,1,1:00–2:00,0,0.0
group,Group messages,2,2:00–3:00,0,0.0
group,Group messages,3,3:00–4:00,0,0.0
group,Group messages,4,4:00–5:00,1,0.03926187671770711
group,Group messages,5,5:00–6:00,25,0.9815469179426776
group,Group messages,6,6:00–7:00,202,7.930899096976836
group,Group messages,7,7:00–8:00,196,7.695327836670593
group,Group messages,8,8:00–9:00,198,7.773851590106007
group,Group messages,9,9:00–10:00,191,7.499018453082057
group,Group messages,10,10:00–11:00,223,8.755398508048685
group,Group messages,11,11:00–12:00,240,9.422850412249705
group,Group messages,12,12:00–13:00,227,8.912446014919514
group,Group messages,13,13:00–14:00,293,11.503729878288183
group,Group messages,14,14:00–15:00,381,14.958775029446409
group,Group messages,15,15:00–16:00,178,6.9886140557518655
group,Group messages,16,16:00–17:00,120,4.7114252061248525
group,Group messages,17,17:00–18:00,54,2.1201413427561837
group,Group messages,18,18:00–19:00,10,0.39261876717707106
group,Group messages,19,19:00–20:00,7,0.27483313702394974
group,Group messages,20,20:00–21:00,0,0.0
group,Group messages,21,21:00–22:00,0,0.0
group,Group messages,22,22:00–23:00,1,0.03926187671770711
group,Group messages,23,23:00–24:00,0,0.0
