item,modality,units_total,units_with_item,unit_coverage_pct,messages_total,messages_with_item,message_coverage_pct,analysis_tokens,item_occurrences,occurrences_per_1000_tokens,top1_unit_share_of_occurrences_pct,top3_unit_share_of_occurrences_pct,q1_unit_rate_per_1000_all_units,median_unit_rate_per_1000_all_units,q3_unit_rate_per_1000_all_units,iqr_unit_rate_per_1000_all_units,median_unit_rate_per_1000_positive_units
du,direct,293,194,66.212,4915,1016,20.671,88287,1203,13.626,5.237,14.547,0.0,10.909,22.403,22.403,17.759
ich,direct,293,211,72.014,4915,1628,33.123,88287,2317,26.244,5.481,12.948,0.0,24.096,37.037,37.037,30.612
QuestionMark,direct,293,195,66.553,4915,1339,27.243,88287,1522,17.239,7.03,16.36,0.0,12.195,25.0,25.0,19.763
Hashtag_PatName,direct,293,88,30.034,4915,510,10.376,88287,697,7.895,19.656,39.885,0.0,0.0,3.591,3.591,11.667
kein_Todo,direct,293,3,1.024,4915,5,0.102,88287,12,0.136,83.333,100.0,0.0,0.0,0.0,0.0,2.865
Mention_KolName,direct,293,23,7.85,4915,85,1.729,88287,86,0.974,27.907,53.488,0.0,0.0,0.0,0.0,8.253
Rückmeldung,direct,293,26,8.874,4915,29,0.59,88287,29,0.328,6.897,20.69,0.0,0.0,0.0,0.0,2.85
anwesend,direct,293,6,2.048,4915,6,0.122,88287,6,0.068,16.667,50.0,0.0,0.0,0.0,0.0,0.608
du,group,86,31,36.047,2547,158,6.203,90187,181,2.007,23.204,51.934,0.0,0.0,3.964,3.964,7.684
ich,group,86,56,65.116,2547,676,26.541,90187,1002,11.11,27.745,53.992,0.0,10.295,27.344,27.344,19.063
QuestionMark,group,86,59,68.605,2547,491,19.278,90187,635,7.041,27.559,60.0,0.0,11.002,19.336,19.336,15.625
Hashtag_PatName,group,86,28,32.558,2547,1155,45.347,90187,3270,36.258,40.826,82.171,0.0,0.0,4.39,4.39,14.035
kein_Todo,group,86,3,3.488,2547,245,9.619,90187,700,7.762,87.857,100.0,0.0,0.0,0.0,0.0,23.033
Mention_KolName,group,86,34,39.535,2547,452,17.746,90187,606,6.719,33.498,66.172,0.0,0.0,6.775,6.775,10.016
Rückmeldung,group,86,9,10.465,2547,214,8.402,90187,215,2.384,51.163,85.581,0.0,0.0,0.0,0.0,1.466
anwesend,group,86,7,8.14,2547,175,6.871,90187,181,2.007,50.829,93.923,0.0,0.0,0.0,0.0,2.899
